setting,mean_load,service_time,threshold,method,plan,staff_hours,gap_vs_ucb_pct,fluid_hours,corr_with_fluid,worst_late,hours_significantly_over,late_by_hour
R24_S16_T30,24.0,16.0,30.0,Lag-SIPP,"[22, 37, 26, 16, 14, 25, 34, 25]",199,8.15,177.52,0.8796,0.0142,0,"[0.0, 0.0015, 0.0105, 0.0142, 0.0066, 0.0, 0.0029, 0.0101]"
R24_S16_T30,24.0,16.0,30.0,OL-avg,"[22, 37, 26, 16, 14, 25, 34, 25]",199,8.15,177.52,0.8796,0.0142,0,"[0.0, 0.0015, 0.0105, 0.0142, 0.0066, 0.0, 0.0029, 0.0101]"
R24_S16_T30,24.0,16.0,30.0,OL-max,"[28, 40, 40, 22, 14, 28, 36, 36]",244,32.61,177.52,0.7376,0.0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
R24_S16_T30,24.0,16.0,30.0,SGS,"[19, 40, 21, 15, 10, 21, 36, 21]",183,-0.54,177.52,0.8661,0.0992,0,"[0.0001, 0.0015, 0.0379, 0.0761, 0.0905, 0.0296, 0.0241, 0.0992]"
R24_S16_T30,24.0,16.0,30.0,SGS-UCB,"[18, 39, 22, 16, 10, 21, 36, 22]",184,0.0,177.52,0.8723,0.0752,0,"[0.0002, 0.0037, 0.0503, 0.0726, 0.0752, 0.0267, 0.0198, 0.0743]"
R24_S32_T60,24.0,32.0,60.0,SIPP,"[29, 40, 21, 14, 14, 29, 36, 21]",204,33.33,157.04,0.0989,0.0078,0,"[0.0, 0.0, 0.0011, 0.0078, 0.0, 0.0, 0.0, 0.0004]"
R24_S32_T60,24.0,32.0,60.0,Lag-SIPP,"[14, 34, 31, 18, 14, 21, 32, 29]",193,26.14,157.04,0.815,0.0013,0,"[0.0, 0.0, 0.0011, 0.0013, 0.0003, 0.0, 0.0, 0.0001]"
R24_S32_T60,24.0,32.0,60.0,OL-avg,"[16, 33, 29, 18, 15, 22, 32, 27]",192,25.49,157.04,0.7673,0.003,0,"[0.0, 0.0, 0.0022, 0.003, 0.0005, 0.0, 0.0, 0.0007]"
R24_S32_T60,24.0,32.0,60.0,OL-max,"[25, 38, 38, 24, 15, 27, 35, 35]",237,54.9,157.04,0.6233,0.0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
R24_S32_T60,24.0,32.0,60.0,SGS,"[5, 40, 21, 4, 16, 10, 36, 20]",152,-0.65,157.04,0.6878,0.1285,1,"[0.0, 0.0008, 0.1087, 0.1141, 0.1285, 0.003, 0.0285, 0.0939]"
R24_S32_T60,24.0,32.0,60.0,SGS-UCB,"[4, 41, 22, 3, 16, 10, 35, 22]",153,0.0,157.04,0.708,0.1024,0,"[0.0, 0.0003, 0.0881, 0.0867, 0.1024, 0.0029, 0.0229, 0.0677]"
