office,service_time,patience,mode,plan,staff_hours,found_by,worst_served_late,served_late_misses,worst_fail,fail_misses,overall_fail,overall_abandon,worst_hour_abandon,abandoned_per_day,wasted_min_per_leaver,mean_wait_served,served_late_by_hour,fail_by_hour
office,8.0,exp60,renege,"[2, 4, 2, 2, 2, 3, 3, 3]",21,no-abandonment SGS-UCB@-,0.0484,0,0.0962,0,0.0466,0.0285,0.0503,2.53,5.34,1.574,"[0.0406, 0.0031, 0.0484, 0.029, 0.0246, 0.0051, 0.0099, 0.0036]","[0.0856, 0.0145, 0.0962, 0.0657, 0.0619, 0.021, 0.0338, 0.0192]"
office,8.0,exp60,balk,"[2, 4, 2, 2, 2, 3, 3, 3]",21,no-abandonment SGS-UCB@-,0.0583,0,0.1077,0,0.0531,0.031,0.0554,2.75,0.0,1.662,"[0.0467, 0.0043, 0.0583, 0.036, 0.0306, 0.0072, 0.0129, 0.0055]","[0.0995, 0.0145, 0.1077, 0.0761, 0.0712, 0.0245, 0.0391, 0.0219]"
office,8.0,exp60,renege,"[3, 3, 3, 2, 2, 3, 3, 3]",22,SIPP (Erlang-C)@-; SIPP-A (fail)@renege; SGS-UCB (fail)@renege; SIPP-A (fail)@balk; SGS-UCB (fail)@balk,0.0247,0,0.062,0,0.0344,0.0234,0.0383,2.08,4.73,1.248,"[0.0047, 0.0203, 0.0075, 0.0174, 0.0247, 0.0051, 0.0099, 0.0036]","[0.0168, 0.0534, 0.0264, 0.0471, 0.062, 0.021, 0.0338, 0.0192]"
office,8.0,exp60,balk,"[3, 3, 3, 2, 2, 3, 3, 3]",22,SIPP (Erlang-C)@-; SIPP-A (fail)@renege; SGS-UCB (fail)@renege; SIPP-A (fail)@balk; SGS-UCB (fail)@balk,0.0307,0,0.0711,0,0.039,0.0248,0.0416,2.21,0.0,1.327,"[0.0058, 0.0255, 0.0093, 0.0226, 0.0307, 0.0072, 0.0129, 0.0055]","[0.0194, 0.0583, 0.0292, 0.0543, 0.0711, 0.0245, 0.0391, 0.0219]"
office,8.0,logn30,renege,"[2, 3, 2, 2, 2, 2, 3, 2]",18,SGS-UCB (late)@renege,0.0772,0,0.1095,0,0.068,0.0224,0.035,1.99,15.8,2.998,"[0.0512, 0.0353, 0.0772, 0.037, 0.0313, 0.0665, 0.0223, 0.0584]","[0.0748, 0.053, 0.1095, 0.0533, 0.0475, 0.0934, 0.0338, 0.0856]"
office,8.0,logn30,balk,"[2, 3, 2, 2, 2, 2, 3, 2]",18,SGS-UCB (late)@renege,0.0975,0,0.1258,1,0.0787,0.0203,0.0354,1.8,0.0,3.273,"[0.0614, 0.0472, 0.0975, 0.0545, 0.0464, 0.0781, 0.0298, 0.0736]","[0.0876, 0.0581, 0.1258, 0.0702, 0.058, 0.1107, 0.0351, 0.097]"
office,8.0,logn30,renege,"[2, 3, 2, 2, 2, 2, 4, 2]",19,SGS-UCB (late)@balk,0.0772,0,0.1095,0,0.0601,0.0197,0.035,1.75,15.69,2.699,"[0.0512, 0.0353, 0.0772, 0.037, 0.0313, 0.0593, 0.0032, 0.0463]","[0.0748, 0.053, 0.1095, 0.0533, 0.0475, 0.0836, 0.0044, 0.0678]"
office,8.0,logn30,balk,"[2, 3, 2, 2, 2, 2, 4, 2]",19,SGS-UCB (late)@balk,0.0975,0,0.1258,1,0.0703,0.0186,0.0354,1.65,0.0,2.932,"[0.0614, 0.0472, 0.0975, 0.0545, 0.0464, 0.0702, 0.0029, 0.0587]","[0.0876, 0.0581, 0.1258, 0.0702, 0.058, 0.1031, 0.0032, 0.0751]"
office,8.0,logn30,renege,"[2, 3, 2, 2, 2, 3, 3, 3]",20,SGS-UCB (fail)@renege,0.0772,0,0.1095,0,0.0452,0.0149,0.035,1.32,15.69,2.243,"[0.0512, 0.0353, 0.0772, 0.037, 0.0272, 0.0074, 0.0124, 0.0065]","[0.0748, 0.053, 0.1095, 0.0533, 0.0403, 0.0104, 0.0185, 0.0094]"
office,8.0,logn30,balk,"[2, 3, 2, 2, 2, 3, 3, 3]",20,SGS-UCB (fail)@renege,0.0975,0,0.1258,1,0.0533,0.0129,0.0313,1.15,0.0,2.454,"[0.0614, 0.0472, 0.0975, 0.0545, 0.0389, 0.0111, 0.0191, 0.0089]","[0.0876, 0.0581, 0.1258, 0.0702, 0.0506, 0.0125, 0.0224, 0.0116]"
office,8.0,logn30,renege,"[2, 4, 2, 2, 2, 3, 3, 3]",21,no-abandonment SGS-UCB@-; SGS-UCB (fail)@balk,0.057,0,0.0813,0,0.0328,0.0106,0.0258,0.94,15.31,1.841,"[0.0443, 0.005, 0.057, 0.0359, 0.0272, 0.0074, 0.0124, 0.0065]","[0.0649, 0.0071, 0.0813, 0.0521, 0.0403, 0.0104, 0.0185, 0.0094]"
