c,S,patience,rho,H_visits,C_visits,H_late_share,C_late_share,eps,kappa,theta_prime,eps_linear,relax_H,relax_C,H_kpi,C_kpi,H_lost_min,C_lost_min
1,8.0,logn30,0.97,1.7552114285167681,2.2372147708625008,0.6141309575376926,0.0,0.7848543318485119,0.07420359960234219,0.0590279868476986,1.2570918231346602,10.940656609591542,16.94111646701006,0.7801580845514529,0.5530156456036291,34.78123803875218,9.179181292842845
1,8.0,logn30,0.99,2.07191741026619,2.7504937928018416,0.7434363912674489,1.5268307689285896e-16,0.9127564785721339,0.037879069798951975,0.020001665005970993,1.893795830879286,30.863985922105613,49.995837831574256,0.8761709286956623,0.6364289195572654,45.70412892742946,10.467074301125102
1,8.0,logn30,0.995,2.2738034650180383,3.0843376963951115,0.8040696845931357,0.0,1.0080397842473177,0.025006162096947213,0.010030461401410779,2.4930221149577534,60.25939668019654,99.69631106494818,0.913831464143138,0.6757812864756112,52.373237035030776,11.067733791303267
1,8.0,logn30,0.999,2.741059735352366,3.87537651649552,0.8977837707551672,-2.1512661188524794e-16,1.2634632281100688,0.009697999892629004,0.002001923155716989,4.8443417345635655,291.23089717439694,499.5196729426104,0.9627092295995903,0.7419605564147109,67.29479760230616,12.043310987354173
1,8.0,logn30cv15,0.8,1.4741910049441909,1.616427602633027,0.18673888334316027,0.0,0.7616870955978433,0.23512561960300749,0.2867547432465516,0.8199537240116255,2.883189945838272,3.487300641231941,0.4483339581307326,0.3813518165792995,12.452217132163556,4.54061821872794
1,8.0,logn30cv15,0.9,1.7288368692461764,1.9593479928121318,0.2961786094697443,-2.1753132548731144e-16,0.778284171090697,0.1363439057309109,0.15077356645090229,0.9042958188251768,5.150076416982711,6.632462331025638,0.5928931161462667,0.4896261390684554,18.855297700696184,6.039990237954265
1,8.0,logn30cv15,0.95,1.9982988066697531,2.333020145743631,0.40687108971001196,0.0,0.8226717197145726,0.08150322763868341,0.07744218724402925,1.0524396396741398,9.514293292052756,12.912858424942007,0.7031830733670599,0.5713710394552727,25.604938065269568,7.298204894700824
1,8.0,logn30cv15,0.97,2.201935100331059,2.622888158309498,0.48475131409875105,1.4559954121859387e-16,0.8683897201208712,0.05662606316468125,0.046984707870228286,1.2052019844644428,15.16745638390516,21.283520645951445,0.7660018745221957,0.6187408918554428,30.713221495694032,8.085971179085174
1,8.0,logn30cv15,0.99,2.643930749610513,3.2740027986734757,0.632407933301883,-1.8174366448872468e-16,0.9963063647435215,0.026743955900610787,0.015824401764692735,1.6900453046055532,42.41530351284887,63.1935421553309,0.860967588976274,0.6945634865049084,41.867224975905046,9.440105098951532
1,8.0,logn30cv15,0.995,2.921183637168594,3.697385253546785,0.7089056064396614,0.0,1.094929436764523,0.01696991811106424,0.007922887349371653,2.1418855731187554,82.10472166187807,126.21661218991211,0.9003505326209186,0.7295385978399921,48.9255951955762,10.099424374746905
1,8.0,logn30cv15,0.999,3.5515907488809892,4.70042438579483,0.8382903624063904,1.304629844654745e-16,1.3704483415698672,0.006152029349965015,0.0015795950937429913,3.894687552736843,388.2862129029089,633.0736300468235,0.9544683920452935,0.7872532524888385,65.17377111909845,11.216988821597894
1,16.0,exp30,0.8,1.6904247407442412,2.046880158962092,0.3003916308454669,0.0,1.1866356503161883,0.26326638906723177,0.19186891377734014,1.3721159091604953,3.6835693306600015,5.211891704147963,0.5861345658922872,0.5114516130211212,20.712742911455177,4.260153735792287
1,16.0,exp30,0.9,2.050874275922477,2.6318173807531884,0.4331405463707388,1.460952126360431e-16,1.3412346401148594,0.16388778733905518,0.09370241931791129,1.7490240757073805,6.9043895257590355,10.672083039897027,0.7236010708777897,0.6200344266615438,31.526229255687266,5.796477034906182
1,16.0,exp30,0.95,2.4348010467988974,3.2807902403278497,0.5530448007358276,-1.8212044318887398e-16,1.5296937832221928,0.10535020849778541,0.04582402597452422,2.2990168641305035,13.195830460162016,21.82261332856151,0.8164305047216088,0.6951953868589691,43.04403263174061,7.117344487087519
1,16.0,exp30,0.97,2.7275665854801763,3.792140893259342,0.6303980093541,0.0,1.6887336127059138,0.07721729644636884,0.02708632846970961,2.850784909173653,21.447192410467363,36.91899406441487,0.8644938706122062,0.7362967178309399,51.826998951760444,7.954528798948896
1,16.0,exp30,0.99,3.3718416408491474,4.962499009228602,0.7627935782221776,0.0,2.0853051386284043,0.04084393362611296,0.008780684281184191,4.65156613290788,61.900148395441065,113.88634051481228,0.9296507822597251,0.7984886247553237,71.15525089939712,9.402685298508446
1,16.0,exp30,0.995,3.782259714035182,5.736949749512825,0.8241792533203747,0.0,2.371680708538555,0.027786781117852075,0.00432602501691045,6.423166997239598,121.67918084434503,231.15908856074293,0.9535143644347874,0.825691344065735,83.46779324699617,10.107538950873206
1,16.0,exp30,0.999,4.732657175125656,7.60313075168497,0.9159315261059927,0.0,3.133939049748507,0.01176686196939987,0.0008418210318466944,13.977866463596213,591.6698867828297,1187.9009458890432,0.9822365172918374,0.8684752330770606,111.97971738495028,11.292081044602376
1,16.0,logn30,0.8,1.5097824045051094,1.850191023351686,0.3301837563201517,2.0541246740798225e-16,1.0309671882117395,0.27179337720474067,0.22575067386260475,1.203953780311452,3.1021134310703324,4.42966562575408,0.5563491522479317,0.4595152676784342,22.935569684115595,4.987577251413686
1,16.0,logn30,0.9,1.8021811616173375,2.326380819673257,0.4590509909204119,0.0,1.141920327859183,0.17040007572265595,0.1128187138359811,1.510388391507354,5.789439930158369,8.863777701400029,0.6998364977946382,0.5701477627637718,33.80597754707652,6.597585827998976
1,16.0,logn30,0.95,2.120784073325137,2.8533292128556593,0.5712094060540082,0.0,1.2824458627021624,0.10932518914967833,0.05589939533619876,1.955749046875336,11.131541812996822,17.88928116280409,0.7978150631461038,0.6495322041724083,44.966367165871986,7.927745535701451
1,16.0,logn30,0.97,2.367374582086588,3.2676214057653707,0.6423216809073852,0.0,1.4015513572685818,0.07958656646045416,0.033240152495509455,2.3942900524059216,18.222246680225975,30.084097843266303,0.8489135087454731,0.6939669943905966,53.28873808314187,8.747521711504367
1,16.0,logn30,0.99,2.918907455428189,4.213576592452301,0.7633906284372216,1.1695024372405386e-16,1.6959458091259254,0.04094277646062949,0.01085334471518247,3.772364882445471,53.517246231602755,92.1374955133528,0.9189390636134201,0.7626719301148387,71.26589414900349,10.124910198276975
1,16.0,logn30,0.995,3.275717093855013,4.83831200724035,0.8200252384057289,-1.3429013476896484e-16,1.9055449030121216,0.027162851611598603,0.005359721752277192,5.067959283531442,106.32733875181718,186.57684973574104,0.9450579044411713,0.793316347002108,82.58453229629636,10.776737158826242
1,16.0,logn30,0.999,4.115708077276733,6.341407349286672,0.9071999626777684,0.0,2.453372314346636,0.010671531354538705,0.0010456955570737636,10.205199096763431,528.1677196468515,956.3012802677857,0.9774522304352465,0.8423062981260008,108.6775738311571,11.843969203366179
1,16.0,logn30cv15,0.8,1.7527409121010178,2.053397197144147,0.2570839212514278,0.0,1.169486926991003,0.2517835651389966,0.19062456949253748,1.3208348000956578,3.9438896624405637,5.245913486714249,0.5761403903911644,0.5130021598399014,19.553535871754978,4.123635167362159
1,16.0,logn30cv15,0.9,2.150173135619752,2.6439395382586075,0.37804687270716114,0.0,1.306098365800613,0.15157073921502168,0.09287119041610788,1.6320533691439876,7.515911034136401,10.767601831305441,0.7107427690405168,0.6217765249432916,29.773213669926292,5.6179968318140805
1,16.0,logn30cv15,0.95,2.5755859315970575,3.300092949585771,0.49242996110410214,0.0,1.4712894730537105,0.09395111701984489,0.045334003088201534,2.072420492782299,14.523641203441818,22.058497637069593,0.8029302642676085,0.6969782320447913,40.74790224930708,6.909039042440596
