part,office,alpha,patience,rule,start,p,phi,start_hours,fixed_point,fixed_hours,oracle_hours,fitted_mean,path_hours,paid_hours_per_day,failures_per_day,oracle_failures_per_day,first_refit_30d_mean,first_refit_30d_sd
size,R8,0.2,logn30,A,Erlang-C SIPP,0.1,0.9,78,"[10, 14, 8, 5, 5, 10, 12, 8]",72,69,145.5,"[78, 73, 72, 72]",71.2,26.9,34.0,,
size,R8,0.2,logn30,A,Erlang-C SIPP,0.2,0.9,78,"[10, 13, 8, 5, 5, 10, 12, 8]",71,69,130.8,"[78, 73, 72, 71, 71]",69.4,35.2,34.0,,
size,R8,0.2,logn30,A,Erlang-C SIPP,0.1,0.8,78,"[10, 13, 8, 5, 5, 10, 12, 8]",71,69,123.6,"[78, 72, 71, 71]",69.5,36.6,34.0,,
size,R8,0.2,logn30,A,Erlang-C SIPP,0.2,0.8,78,"[10, 13, 8, 5, 5, 10, 12, 8]",71,69,109.4,"[78, 71, 71]",68.0,45.2,34.0,,
size,R8,0.2,logn30,B,Erlang-C SIPP,0.0,,78,"[10, 13, 7, 5, 5, 10, 12, 7]",69,69,30.0,"[78, 69, 69]",69.0,34.0,34.0,69.09,0.41
size,R32,0.1,exp30,A,Erlang-C SIPP,0.0,,277,"[34, 47, 25, 17, 17, 34, 43, 25]",242,242,30.0,"[277, 242, 242]",242.0,87.5,87.5,242.0,0.0
size,R32,0.1,exp30,A,Erlang-C SIPP,0.1,0.9,277,"[34, 47, 25, 17, 17, 34, 43, 25]",242,242,30.0,"[277, 242, 242]",239.5,95.2,87.5,,
size,R32,0.1,exp30,A,Erlang-C SIPP,0.2,0.9,277,"[34, 47, 25, 17, 17, 34, 43, 25]",242,242,30.0,"[277, 242, 242]",237.0,102.9,87.5,,
size,R32,0.1,exp30,A,Erlang-C SIPP,0.1,0.8,277,"[34, 47, 25, 17, 17, 34, 43, 25]",242,242,30.0,"[277, 242, 242]",237.2,106.7,87.5,,
size,R32,0.1,exp30,A,Erlang-C SIPP,0.2,0.8,277,"[34, 47, 25, 17, 17, 34, 43, 25]",242,242,30.0,"[277, 242, 242]",232.4,125.9,87.5,,
size,R32,0.1,exp30,B,Erlang-C SIPP,0.0,,277,"[34, 47, 25, 17, 17, 34, 43, 25]",242,242,30.0,"[277, 242, 242]",242.0,87.5,87.5,242.0,0.0
size,R32,0.1,logn30,A,Erlang-C SIPP,0.0,,277,"[38, 52, 28, 18, 18, 38, 47, 28]",267,261,365.8,"[277, 271, 268, 267, 267]",267.0,32.4,59.9,270.87,0.49
size,R32,0.1,logn30,A,Erlang-C SIPP,0.1,0.9,277,"[37, 52, 28, 18, 18, 37, 47, 28]",265,261,256.4,"[277, 267, 265, 265]",262.2,67.3,59.9,,
size,R32,0.1,logn30,A,Erlang-C SIPP,0.2,0.9,277,"[37, 51, 28, 18, 18, 37, 47, 28]",264,261,210.2,"[277, 267, 264, 264]",258.4,102.8,59.9,,
size,R32,0.1,logn30,A,Erlang-C SIPP,0.1,0.8,277,"[37, 51, 27, 18, 18, 37, 46, 27]",261,261,182.1,"[277, 263, 261, 261]",255.9,122.1,59.9,,
size,R32,0.1,logn30,A,Erlang-C SIPP,0.2,0.8,277,"[36, 50, 27, 18, 18, 36, 46, 27]",258,261,138.1,"[277, 258, 258]",247.8,208.5,59.9,,
size,R32,0.1,logn30,B,Erlang-C SIPP,0.0,,277,"[37, 51, 27, 18, 18, 37, 46, 27]",261,261,30.0,"[277, 261, 261]",261.0,59.9,59.9,259.9,1.5
size,R32,0.2,exp30,A,Erlang-C SIPP,0.0,,269,"[30, 42, 22, 15, 15, 30, 38, 22]",214,214,30.0,"[269, 214, 214]",214.0,176.2,176.2,214.05,0.31
size,R32,0.2,exp30,A,Erlang-C SIPP,0.1,0.9,269,"[30, 42, 22, 15, 15, 30, 38, 22]",214,214,30.0,"[269, 214, 214]",212.0,186.5,176.2,,
size,R32,0.2,exp30,A,Erlang-C SIPP,0.2,0.9,269,"[30, 42, 22, 15, 15, 30, 38, 22]",214,214,30.0,"[269, 214, 214]",210.0,196.8,176.2,,
size,R32,0.2,exp30,A,Erlang-C SIPP,0.1,0.8,269,"[30, 42, 22, 15, 15, 30, 38, 22]",214,214,30.0,"[269, 214, 214]",209.8,205.0,176.2,,
size,R32,0.2,exp30,A,Erlang-C SIPP,0.2,0.8,269,"[30, 42, 22, 15, 15, 30, 38, 22]",214,214,30.0,"[269, 214, 214]",205.6,233.8,176.2,,
size,R32,0.2,exp30,B,Erlang-C SIPP,0.0,,269,"[30, 42, 22, 15, 15, 30, 38, 22]",214,214,30.0,"[269, 214, 214]",214.0,176.2,176.2,214.05,0.31
size,R32,0.2,logn30,A,Erlang-C SIPP,0.0,,269,"[37, 51, 27, 18, 18, 37, 46, 27]",261,250,286.1,"[269, 262, 261, 261]",261.0,59.9,146.0,262.25,0.58
size,R32,0.2,logn30,A,Erlang-C SIPP,0.1,0.9,269,"[36, 50, 27, 17, 17, 36, 45, 27]",255,250,194.8,"[269, 261, 256, 255, 255]",252.2,135.2,146.0,,
size,R32,0.2,logn30,A,Erlang-C SIPP,0.2,0.9,269,"[36, 49, 26, 17, 17, 36, 45, 26]",252,250,160.2,"[269, 256, 253, 252, 252]",246.4,200.8,146.0,,
size,R32,0.2,logn30,A,Erlang-C SIPP,0.1,0.8,269,"[36, 49, 26, 17, 17, 36, 45, 26]",252,250,157.0,"[269, 255, 253, 252, 252]",247.1,188.4,146.0,,
size,R32,0.2,logn30,A,Erlang-C SIPP,0.2,0.8,269,"[35, 49, 26, 17, 17, 35, 44, 26]",249,250,124.6,"[269, 249, 249]",239.2,282.1,146.0,,
size,R32,0.2,logn30,B,Erlang-C SIPP,0.0,,269,"[35, 49, 26, 17, 17, 35, 45, 26]",250,250,30.0,"[269, 250, 250]",250.0,146.0,146.0,249.58,0.72
