c,S,rho,patience,fail_cutoff,live_bins_below,live_bins_above,min_psi_below,max_psi_above,sign_ok,taylor_exact,taylor_first_order,taylor_rel_err,implied_threshold
16,16.0,0.95,logn30cv15,0.059565,30,13,0.06448,-0.37083,True,0.011829844514086751,0.012446190016915572,0.0521008963469375,0.2205
16,16.0,1.2,exp30,0.184075,30,18,0.01483,-0.4496,True,0.0033997808649088856,0.0033525175277122985,0.013901877525230968,0.0592
16,16.0,1.2,logn30,0.17045,30,22,0.0051,-0.5411,True,0.006558500315797189,0.007597675624498437,0.15844709288161957,0.0198
16,16.0,1.2,logn30cv15,0.182511,30,18,0.01182,-0.36867,True,0.0019292856894045363,0.001877220906301634,0.026986559527620715,0.0526
64,8.0,0.8,exp30,0.000946,10,0,0.47671,,True,0.0019082933650237388,0.001971633066853602,0.03319180530142194,1.0
64,8.0,0.8,logn30,0.0,13,0,0.86573,,True,0.0009134210709628166,0.0008677991664835247,0.04994619231982772,0.5105
64,8.0,0.8,logn30cv15,0.000204,11,0,0.4757,,True,0.0004917248973079769,0.00044047550044060997,0.1042237176680285,1.0
64,8.0,0.95,exp30,0.016856,17,0,0.15607,,True,0.0007260155970081339,0.0006850039424838191,0.056488668691583706,1.0
64,8.0,0.95,logn30,0.000385,30,1,0.10164,-0.87831,True,0.0235153508703021,0.028277073637080846,0.2024942257099128,0.3187
64,8.0,0.95,logn30cv15,0.009873,18,0,0.11981,,True,0.011839785720347273,0.0122671030236917,0.0360916416426405,1.0
64,8.0,1.2,exp30,0.16674,30,0,0.00011,,True,9.821521986352888e-05,7.764547976088588e-05,0.2094353617619029,0.0005
64,8.0,1.2,logn30,0.166667,20,3,0.0,-0.93846,True,0.00022970481753759042,0.00022689951084387913,0.012212659376428674,0.0
64,8.0,1.2,logn30cv15,0.166686,28,0,4e-05,,True,2.923415885325298e-05,2.199820274815261e-05,0.24751716447265598,0.0001
64,16.0,0.8,exp30,0.001627,17,0,0.36014,,True,6.597143139186468e-05,6.35752755364474e-05,0.03632111362241499,0.3848
64,16.0,0.8,logn30,2e-06,24,0,0.71339,,True,0.0015443780664490259,0.0016086832111898738,0.04163821420275942,0.5077
64,16.0,0.8,logn30cv15,0.000698,17,0,0.33534,,True,0.0008033343895353928,0.0008119277472852465,0.010697111765405271,0.3764
64,16.0,0.95,exp30,0.023171,25,0,0.11844,,True,0.002003734564268833,0.002019299211223514,0.007767818768131297,0.193
64,16.0,0.95,logn30,0.002598,30,4,0.07966,-0.84509,True,0.012698650389099675,0.01364676045878322,0.07466227044862883,0.2787
64,16.0,0.95,logn30cv15,0.017304,25,0,0.08915,,True,0.0004708656433710656,0.0004574259870211496,0.02854244419639019,0.1747
64,16.0,1.2,exp30,0.167537,30,3,0.00101,-0.61201,True,0.00032043768734035805,0.00032244148274912315,0.006253307547550534,0.0052
64,16.0,1.2,logn30,0.166667,30,6,0.0,-0.86924,True,0.0016640471351087038,0.002580955374262632,0.5510109778795605,0.0
64,16.0,1.2,logn30cv15,0.167141,30,2,0.00047,-0.54519,True,0.0003115300075058336,0.00028679825879279346,0.07938801437154339,0.0025
