T,c,S,patience,rho,n_T,eps,H_late_share
15.0,8,4.0,exp30,0.95,30.0,0.11870564935024142,0.0005674476258322435
15.0,8,4.0,logn30,0.95,30.0,0.07766934710204276,0.03752834481510136
15.0,8,8.0,exp30,0.95,15.0,0.1552634397892098,0.01757205356632572
15.0,8,8.0,logn30,0.95,15.0,0.11698265342700373,0.12647506697202968
15.0,8,16.0,exp30,0.95,7.5,0.22549584684174157,0.09097144670942331
15.0,8,16.0,logn30,0.95,7.5,0.1884771341401938,0.23946465581980372
15.0,16,4.0,exp30,0.95,60.0,0.09489447225198992,3.012974432147266e-07
15.0,16,4.0,logn30,0.95,60.0,0.05843042676064796,0.003544229223824116
15.0,16,8.0,exp30,0.95,30.0,0.11594901853749627,0.0003851857202644641
15.0,16,8.0,logn30,0.95,30.0,0.07574267041150996,0.03339053206104975
15.0,16,16.0,exp30,0.95,15.0,0.14857186709886983,0.012382273564131829
15.0,16,16.0,logn30,0.95,15.0,0.11072988967490931,0.10971966365683124
15.0,32,4.0,exp30,0.95,120.0,0.07994520774722308,7.232839983801927e-14
15.0,32,4.0,logn30,0.95,120.0,0.05158919453142591,4.409453492082718e-05
15.0,32,8.0,exp30,0.95,60.0,0.09257500571001037,1.7480078166005773e-07
15.0,32,8.0,logn30,0.95,60.0,0.05774453709226786,0.0030893074587779253
15.0,32,16.0,exp30,0.95,30.0,0.11158738849734988,0.00023603574295320696
15.0,32,16.0,logn30,0.95,30.0,0.07329057581743258,0.02832605114624665
30.0,1,4.0,exp30,0.95,7.5,0.313933829670948,0.04367069274544161
30.0,1,4.0,logn30,0.95,7.5,0.23076076624922848,0.04151478262892969
30.0,1,8.0,exp30,0.95,3.75,0.5167583499911511,0.1465995498464194
30.0,1,8.0,logn30,0.95,3.75,0.38662700037103676,0.11013534586208482
30.0,1,16.0,exp30,0.95,1.875,0.8991520357376414,0.2560967521220852
30.0,1,16.0,logn30,0.95,1.875,0.6702094942257268,0.17408205028717388
30.0,2,4.0,exp30,0.95,15.0,0.20917926164543138,0.002696407179160382
30.0,2,4.0,logn30,0.95,15.0,0.14417079209212558,0.005407346644560054
30.0,2,8.0,exp30,0.95,7.5,0.3030884153559757,0.035710444552205164
30.0,2,8.0,logn30,0.95,7.5,0.2220626591599813,0.03699646524356332
30.0,2,16.0,exp30,0.95,3.75,0.48351218488396314,0.12124003470580538
30.0,2,16.0,logn30,0.95,3.75,0.36381480754377615,0.09612281282129806
30.0,4,4.0,exp30,0.95,30.0,0.1537780671084097,8.748804081556841e-06
30.0,4,4.0,logn30,0.95,30.0,0.09834648282830209,0.00011372696449718895
30.0,4,8.0,exp30,0.95,15.0,0.20411165372678536,0.0020160376021670016
30.0,4,8.0,logn30,0.95,15.0,0.1397501852229398,0.004753013637809846
30.0,4,16.0,exp30,0.95,7.5,0.2892832827901524,0.027419989986896376
30.0,4,16.0,logn30,0.95,7.5,0.21120600732844008,0.03169598833079737
30.0,8,4.0,exp30,0.95,60.0,0.1184842566362534,7.109744754957018e-11
30.0,8,4.0,logn30,0.95,60.0,0.07215426774514214,7.258561777749363e-08
30.0,8,8.0,exp30,0.95,30.0,0.1503542213808539,5.757852402915882e-06
30.0,8,8.0,logn30,0.95,30.0,0.0958817116289713,9.898119584260207e-05
30.0,8,16.0,exp30,0.95,15.0,0.19686374196637246,0.0013882515679453885
30.0,8,16.0,logn30,0.95,15.0,0.1341049713891428,0.003998164181237629
30.0,16,4.0,exp30,0.95,120.0,nan,0.0
30.0,16,4.0,logn30,0.95,120.0,0.04774723401151634,5.1154599941563747e-14
30.0,16,8.0,exp30,0.95,60.0,0.1159349399484607,3.9325865653205975e-11
30.0,16,8.0,logn30,0.95,60.0,0.07081888675438888,6.280206473542405e-08
30.0,16,16.0,exp30,0.95,30.0,0.14509202749663233,3.4069305057098055e-06
30.0,16,16.0,logn30,0.95,30.0,0.09268937900051247,8.204423370486906e-05
30.0,32,4.0,exp30,0.95,240.0,nan,0.0
30.0,32,4.0,logn30,0.95,240.0,nan,0.0
30.0,32,8.0,exp30,0.95,120.0,nan,0.0
30.0,32,8.0,logn30,0.95,120.0,0.12141902116105348,4.3889915000485205e-14
30.0,32,16.0,exp30,0.95,60.0,0.111555833882456,1.903651765752231e-11
30.0,32,16.0,logn30,0.95,60.0,0.06907296386413486,5.14580387539031e-08
