office,patience,plan_type,staff_hours,regime,fail,failures_per_day,arrivals_per_day,balked_per_day,wasted_min_per_day,lost_min_per_arrival,d_C1,d_C1_lo,d_C1_hi,d_H,d_H_lo,d_H_hi,d_O-M15,d_O-M15_lo,d_O-M15_hi,dfail_sim,dfail_pred
R4_S8_A0.6,exp30,lean,36,H,0.09774,23.467,240.09,0.0,82.94,2.544,,,,0.0,0.0,0.0,2.229,1.952,2.506,0.0,0.0
R4_S8_A0.6,exp30,lean,36,O*1.5,0.10575,25.389,240.09,24.371,0.0,1.661,,,,1.922,1.668,2.176,4.151,3.951,4.351,0.00801,0.00683
R4_S8_A0.6,exp30,lean,36,O*2,0.11396,27.36,240.09,26.972,0.0,1.337,,,,3.893,3.58,4.206,6.122,5.921,6.323,0.01621,0.0157
R4_S8_A0.6,exp30,lean,36,O*3,0.12945,31.079,240.09,30.985,0.0,0.97,,,,7.612,7.252,7.972,9.841,9.605,10.077,0.0317,0.03084
R4_S8_A0.6,exp30,lean,36,O-M5,0.12516,30.05,240.09,30.05,0.0,0.801,,,,6.583,6.186,6.98,8.812,8.527,9.097,0.02742,0.02685
R4_S8_A0.6,exp30,lean,36,O-M10,0.0962,23.096,240.09,23.096,0.0,1.632,,,,-0.371,-0.676,-0.066,1.858,1.707,2.009,-0.00155,-0.00261
R4_S8_A0.6,exp30,lean,36,O-M12.5,0.09128,21.916,240.09,21.916,0.0,1.874,,,,-1.551,-1.833,-1.269,0.678,0.575,0.781,-0.00646,-0.00777
R4_S8_A0.6,exp30,lean,36,O-M15,0.08846,21.238,240.09,21.238,0.0,2.016,,,,-2.229,-2.506,-1.952,0.0,0.0,0.0,-0.00928,-0.01031
R4_S8_A0.6,exp30,lean,36,O-M17.5,0.0938,22.521,240.09,20.94,0.0,2.099,,,,-0.946,-1.109,-0.783,1.283,1.118,1.448,-0.00394,-0.00432
R4_S8_A0.6,exp30,lean,36,O-M20,0.09577,22.994,240.09,20.73,0.0,2.145,,,,-0.473,-0.587,-0.359,1.756,1.543,1.969,-0.00197,-0.00172
R4_S8_A0.6,exp30,lean,36,O-M30,0.09771,23.46,240.09,20.595,0.0,2.195,,,,-0.007,-0.017,0.003,2.222,1.946,2.498,-3e-05,-3e-05
R4_S8_A0.6,exp30,lean,36,C,0.10731,25.764,240.09,19.978,25.56,2.091,,,,2.297,2.145,2.449,4.526,4.231,4.821,0.00957,
R4_S8_A0.6,exp30,lean,36,C0-M5,0.13601,32.656,240.09,25.399,15.52,0.899,-0.718,-0.86,-0.576,9.189,8.776,9.602,11.418,11.107,11.729,0.03827,
R4_S8_A0.6,exp30,lean,36,C1-M5,0.13901,33.374,240.09,31.494,8.45,0.869,,,,9.907,9.505,10.309,12.136,11.834,12.438,0.04126,
R4_S8_A0.6,exp30,lean,36,C0-M10,0.10196,24.479,240.09,8.728,47.15,1.862,-1.447,-1.611,-1.283,1.012,0.712,1.312,3.241,3.042,3.44,0.00422,
R4_S8_A0.6,exp30,lean,36,C1-M10,0.10798,25.926,240.09,22.364,19.43,1.701,,,,2.459,2.163,2.755,4.688,4.482,4.894,0.01024,
R4_S8_A0.6,exp30,lean,36,C0-M12.5,0.09645,23.157,240.09,4.289,60.96,2.178,-2.194,-2.361,-2.027,-0.31,-0.544,-0.076,1.919,1.744,2.094,-0.00129,
R4_S8_A0.6,exp30,lean,36,C1-M12.5,0.10559,25.351,240.09,20.825,22.87,1.924,,,,1.884,1.659,2.109,4.113,3.898,4.328,0.00785,
R4_S8_A0.6,exp30,lean,36,C0-M15,0.09602,23.054,240.09,2.204,70.42,2.353,-2.374,-2.532,-2.216,-0.413,-0.581,-0.245,1.816,1.617,2.015,-0.00172,
R4_S8_A0.6,exp30,lean,36,C1-M15,0.10591,25.428,240.09,20.318,24.64,2.021,,,,1.961,1.776,2.146,4.19,3.952,4.428,0.00817,
R4_S8_A0.6,exp30,lean,36,C0-M17.5,0.09638,23.141,240.09,1.187,75.63,2.439,-2.433,-2.59,-2.276,-0.326,-0.443,-0.209,1.903,1.682,2.124,-0.00136,
R4_S8_A0.6,exp30,lean,36,C1-M17.5,0.10652,25.574,240.09,20.126,25.28,2.06,,,,2.107,1.944,2.27,4.336,4.073,4.599,0.00878,
R4_S8_A0.6,exp30,lean,36,C0-M20,0.09682,23.245,240.09,0.669,78.56,2.483,-2.421,-2.574,-2.268,-0.222,-0.3,-0.144,2.007,1.769,2.245,-0.00092,
R4_S8_A0.6,exp30,lean,36,C1-M20,0.1069,25.666,240.09,20.044,25.44,2.077,,,,2.199,2.044,2.354,4.428,4.146,4.71,0.00916,
R4_S8_A0.6,exp30,lean,36,C0-M30,0.09768,23.451,240.09,0.024,82.73,2.54,-2.314,-2.467,-2.161,-0.016,-0.028,-0.004,2.213,1.94,2.486,-7e-05,
R4_S8_A0.6,exp30,lean,36,C1-M30,0.10731,25.765,240.09,19.981,25.54,2.091,,,,2.298,2.146,2.45,4.527,4.231,4.823,0.00957,
R4_S8_A0.6,exp30,safe,39,H,0.06739,16.18,240.09,0.0,52.5,1.863,,,,0.0,0.0,0.0,0.909,0.758,1.06,0.0,0.0
R4_S8_A0.6,exp30,safe,39,O*1.5,0.07761,18.634,240.09,18.203,0.0,1.28,,,,2.454,2.287,2.621,3.363,3.213,3.513,0.01022,0.00876
R4_S8_A0.6,exp30,safe,39,O*2,0.08642,20.748,240.09,20.554,0.0,1.05,,,,4.568,4.367,4.769,5.477,5.305,5.649,0.01903,0.01736
R4_S8_A0.6,exp30,safe,39,O*3,0.10069,24.176,240.09,24.121,0.0,0.777,,,,7.996,7.75,8.242,8.905,8.695,9.115,0.0333,0.03118
R4_S8_A0.6,exp30,safe,39,O-M5,0.09454,22.698,240.09,22.698,0.0,0.686,,,,6.518,6.235,6.801,7.427,7.177,7.677,0.02715,0.02547
R4_S8_A0.6,exp30,safe,39,O-M10,0.06915,16.602,240.09,16.602,0.0,1.325,,,,0.422,0.243,0.601,1.331,1.218,1.444,0.00176,0.00033
R4_S8_A0.6,exp30,safe,39,O-M12.5,0.06547,15.72,240.09,15.72,0.0,1.483,,,,-0.46,-0.617,-0.303,0.449,0.381,0.517,-0.00192,-0.00363
R4_S8_A0.6,exp30,safe,39,O-M15,0.0636,15.271,240.09,15.271,0.0,1.566,,,,-0.909,-1.06,-0.758,0.0,0.0,0.0,-0.00379,-0.00546
R4_S8_A0.6,exp30,safe,39,O-M17.5,0.06604,15.856,240.09,15.117,0.0,1.605,,,,-0.324,-0.407,-0.241,0.585,0.489,0.681,-0.00135,-0.0022
R4_S8_A0.6,exp30,safe,39,O-M20,0.06686,16.052,240.09,15.036,0.0,1.624,,,,-0.128,-0.178,-0.078,0.781,0.655,0.907,-0.00053,-0.00086
R4_S8_A0.6,exp30,safe,39,O-M30,0.06735,16.169,240.09,14.976,0.0,1.642,,,,-0.011,-0.023,0.001,0.898,0.749,1.047,-5e-05,-2e-05
R4_S8_A0.6,exp30,safe,39,C,0.07608,18.265,240.09,14.819,16.91,1.566,,,,2.085,1.973,2.197,2.994,2.826,3.162,0.00868,
R4_S8_A0.6,exp30,safe,39,C0-M5,0.09962,23.918,240.09,17.388,13.7,0.816,-0.759,-0.872,-0.646,7.738,7.437,8.039,8.647,8.384,8.91,0.03223,
R4_S8_A0.6,exp30,safe,39,C1-M5,0.10278,24.677,240.09,23.069,7.1,0.786,,,,8.497,8.199,8.795,9.406,9.144,9.668,0.03539,
R4_S8_A0.6,exp30,safe,39,C0-M10,0.07164,17.2,240.09,4.578,36.3,1.523,-1.57,-1.692,-1.448,1.02,0.837,1.203,1.929,1.788,2.07,0.00425,
R4_S8_A0.6,exp30,safe,39,C1-M10,0.07818,18.77,240.09,16.104,14.46,1.383,,,,2.59,2.411,2.769,3.499,3.347,3.651,0.01079,
R4_S8_A0.6,exp30,safe,39,C0-M12.5,0.06856,16.461,240.09,2.369,42.64,1.679,-1.876,-1.998,-1.754,0.281,0.15,0.412,1.19,1.07,1.31,0.00117,
R4_S8_A0.6,exp30,safe,39,C1-M12.5,0.07637,18.337,240.09,15.328,15.6,1.486,,,,2.157,2.014,2.3,3.066,2.922,3.21,0.00898,
R4_S8_A0.6,exp30,safe,39,C0-M15,0.06739,16.181,240.09,0.856,48.35,1.794,-2.066,-2.179,-1.953,0.001,-0.078,0.08,0.91,0.787,1.033,0.0,
R4_S8_A0.6,exp30,safe,39,C1-M15,0.076,18.247,240.09,14.947,16.59,1.546,,,,2.067,1.949,2.185,2.976,2.823,3.129,0.00861,
R4_S8_A0.6,exp30,safe,39,C0-M17.5,0.06715,16.122,240.09,0.385,50.43,1.829,-2.117,-2.23,-2.004,-0.058,-0.111,-0.005,0.851,0.721,0.981,-0.00024,
R4_S8_A0.6,exp30,safe,39,C1-M17.5,0.07597,18.239,240.09,14.868,16.71,1.559,,,,2.059,1.946,2.172,2.968,2.807,3.129,0.00858,
R4_S8_A0.6,exp30,safe,39,C0-M20,0.06724,16.144,240.09,0.134,51.68,1.851,-2.111,-2.222,-2.0,-0.036,-0.067,-0.005,0.873,0.732,1.014,-0.00015,
R4_S8_A0.6,exp30,safe,39,C1-M20,0.07603,18.255,240.09,14.832,16.87,1.564,,,,2.075,1.963,2.187,2.984,2.82,3.148,0.00864,
R4_S8_A0.6,exp30,safe,39,C0-M30,0.06739,16.179,240.09,0.004,52.47,1.862,-2.086,-2.198,-1.974,-0.001,-0.003,0.001,0.908,0.757,1.059,-0.0,
R4_S8_A0.6,exp30,safe,39,C1-M30,0.07608,18.265,240.09,14.819,16.91,1.566,,,,2.085,1.973,2.197,2.994,2.826,3.162,0.00868,
R4_S8_A0.6,logn30,lean,37,H,0.07732,18.565,240.09,0.0,84.47,4.161,,,,0.0,0.0,0.0,10.209,9.428,10.99,0.0,0.0
R4_S8_A0.6,logn30,lean,37,O*1.5,0.05416,13.004,240.09,9.391,0.0,2.887,,,,-5.561,-6.172,-4.95,4.648,4.33,4.966,-0.02316,-0.03886
R4_S8_A0.6,logn30,lean,37,O*2,0.05588,13.416,240.09,12.569,0.0,2.278,,,,-5.149,-5.892,-4.406,5.06,4.837,5.283,-0.02145,-0.03924
R4_S8_A0.6,logn30,lean,37,O*3,0.07423,17.822,240.09,17.765,0.0,1.548,,,,-0.743,-1.52,0.034,9.466,9.194,9.738,-0.00309,-0.02118
R4_S8_A0.6,logn30,lean,37,O-M5,0.09876,23.711,240.09,23.711,0.0,0.866,,,,5.146,4.35,5.942,15.355,15.003,15.707,0.02143,0.00425
R4_S8_A0.6,logn30,lean,37,O-M10,0.0534,12.822,240.09,12.822,0.0,2.116,,,,-5.743,-6.514,-4.972,4.466,4.25,4.682,-0.02392,-0.04189
R4_S8_A0.6,logn30,lean,37,O-M12.5,0.04214,10.118,240.09,10.118,0.0,2.635,,,,-8.447,-9.218,-7.676,1.762,1.607,1.917,-0.03518,-0.05431
R4_S8_A0.6,logn30,lean,37,O-M15,0.0348,8.356,240.09,8.356,0.0,3.041,,,,-10.209,-10.99,-9.428,0.0,0.0,0.0,-0.04252,-0.06249
R4_S8_A0.6,logn30,lean,37,O-M17.5,0.05676,13.627,240.09,7.153,0.0,3.344,,,,-4.938,-5.403,-4.473,5.271,4.861,5.681,-0.02057,-0.03181
R4_S8_A0.6,logn30,lean,37,O-M20,0.06756,16.22,240.09,6.427,0.0,3.549,,,,-2.345,-2.632,-2.058,7.864,7.264,8.464,-0.00977,-0.0146
R4_S8_A0.6,logn30,lean,37,O-M30,0.07703,18.495,240.09,5.701,0.0,3.796,,,,-0.07,-0.11,-0.03,10.139,9.365,10.913,-0.00029,-0.00024
R4_S8_A0.6,logn30,lean,37,C,0.07378,17.715,240.09,4.241,39.63,3.763,,,,-0.85,-1.099,-0.601,9.359,8.665,10.053,-0.00354,
R4_S8_A0.6,logn30,lean,37,C0-M5,0.10807,25.947,240.09,25.742,1.14,0.976,0.0,0.0,0.0,7.382,6.582,8.182,17.591,17.204,17.978,0.03075,
R4_S8_A0.6,logn30,lean,37,C1-M5,0.10807,25.947,240.09,25.745,1.13,0.976,,,,7.382,6.582,8.182,17.591,17.204,17.978,0.03075,
R4_S8_A0.6,logn30,lean,37,C0-M10,0.06444,15.471,240.09,13.104,9.69,2.23,0.014,-0.036,0.064,-3.094,-3.817,-2.371,7.115,6.809,7.421,-0.01289,
R4_S8_A0.6,logn30,lean,37,C1-M10,0.06438,15.457,240.09,13.212,8.78,2.225,,,,-3.108,-3.833,-2.383,7.101,6.796,7.406,-0.01295,
R4_S8_A0.6,logn30,lean,37,C0-M12.5,0.05801,13.927,240.09,8.733,21.09,2.814,-0.102,-0.195,-0.009,-4.638,-5.285,-3.991,5.571,5.238,5.904,-0.01932,
R4_S8_A0.6,logn30,lean,37,C1-M12.5,0.05843,14.029,240.09,9.131,18.08,2.803,,,,-4.536,-5.187,-3.885,5.673,5.342,6.004,-0.01889,
R4_S8_A0.6,logn30,lean,37,C0-M15,0.05999,14.403,240.09,5.918,34.27,3.255,-0.311,-0.45,-0.172,-4.162,-4.671,-3.653,6.047,5.619,6.475,-0.01734,
R4_S8_A0.6,logn30,lean,37,C1-M15,0.06128,14.714,240.09,6.875,26.62,3.214,,,,-3.851,-4.354,-3.348,6.358,5.922,6.794,-0.01604,
R4_S8_A0.6,logn30,lean,37,C0-M17.5,0.06395,15.355,240.09,4.222,45.25,3.523,-0.528,-0.716,-0.34,-3.21,-3.627,-2.793,6.999,6.496,7.502,-0.01337,
R4_S8_A0.6,logn30,lean,37,C1-M17.5,0.06615,15.883,240.09,5.748,32.02,3.444,,,,-2.682,-3.086,-2.278,7.527,7.007,8.047,-0.01117,
R4_S8_A0.6,logn30,lean,37,C0-M20,0.06739,16.179,240.09,2.898,54.87,3.731,-0.338,-0.539,-0.137,-2.386,-2.703,-2.069,7.823,7.251,8.395,-0.00994,
R4_S8_A0.6,logn30,lean,37,C1-M20,0.06879,16.517,240.09,4.974,35.44,3.592,,,,-2.048,-2.391,-1.705,8.161,7.578,8.744,-0.00853,
R4_S8_A0.6,logn30,lean,37,C0-M30,0.07608,18.266,240.09,0.419,79.29,4.106,0.568,0.322,0.814,-0.299,-0.394,-0.204,9.91,9.158,10.662,-0.00125,
R4_S8_A0.6,logn30,lean,37,C1-M30,0.07371,17.698,240.09,4.253,39.58,3.759,,,,-0.867,-1.118,-0.616,9.342,8.65,10.034,-0.00361,
R4_S8_A0.6,logn30,safe,40,H,0.03539,8.498,240.09,0.0,36.27,2.856,,,,0.0,0.0,0.0,4.286,3.807,4.765,0.0,0.0
R4_S8_A0.6,logn30,safe,40,O*1.5,0.02987,7.172,240.09,5.422,0.0,2.179,,,,-1.326,-1.699,-0.953,2.96,2.74,3.18,-0.00552,-0.02189
R4_S8_A0.6,logn30,safe,40,O*2,0.03454,8.292,240.09,7.885,0.0,1.782,,,,-0.206,-0.667,0.255,4.08,3.884,4.276,-0.00086,-0.01971
R4_S8_A0.6,logn30,safe,40,O*3,0.05166,12.404,240.09,12.372,0.0,1.244,,,,3.906,3.415,4.397,8.192,7.919,8.465,0.01627,-0.00391
R4_S8_A0.6,logn30,safe,40,O-M5,0.07246,17.398,240.09,17.398,0.0,0.738,,,,8.9,8.373,9.427,13.186,12.822,13.55,0.03707,0.0173
R4_S8_A0.6,logn30,safe,40,O-M10,0.03266,7.842,240.09,7.842,0.0,1.705,,,,-0.656,-1.127,-0.185,3.63,3.433,3.827,-0.00273,-0.022
R4_S8_A0.6,logn30,safe,40,O-M12.5,0.02294,5.508,240.09,5.508,0.0,2.075,,,,-2.99,-3.463,-2.517,1.296,1.172,1.42,-0.01245,-0.03182
R4_S8_A0.6,logn30,safe,40,O-M15,0.01754,4.212,240.09,4.212,0.0,2.335,,,,-4.286,-4.765,-3.807,0.0,0.0,0.0,-0.01785,-0.03799
R4_S8_A0.6,logn30,safe,40,O-M17.5,0.02791,6.7,240.09,3.424,0.0,2.505,,,,-1.798,-2.053,-1.543,2.488,2.202,2.774,-0.00749,-0.01878
R4_S8_A0.6,logn30,safe,40,O-M20,0.03226,7.745,240.09,3.004,0.0,2.606,,,,-0.753,-0.905,-0.601,3.533,3.135,3.931,-0.00314,-0.00838
R4_S8_A0.6,logn30,safe,40,O-M30,0.03532,8.481,240.09,2.652,0.0,2.702,,,,-0.017,-0.037,0.003,4.269,3.792,4.746,-7e-05,-0.00013
R4_S8_A0.6,logn30,safe,40,C,0.03574,8.58,240.09,1.981,19.76,2.685,,,,0.082,-0.058,0.222,4.368,3.911,4.825,0.00034,
R4_S8_A0.6,logn30,safe,40,C0-M5,0.07533,18.087,240.09,17.937,0.86,0.888,0.0,0.0,0.0,9.589,9.042,10.136,13.875,13.493,14.257,0.03994,
R4_S8_A0.6,logn30,safe,40,C1-M5,0.07533,18.087,240.09,17.939,0.85,0.888,,,,9.589,9.042,10.136,13.875,13.493,14.257,0.03994,
R4_S8_A0.6,logn30,safe,40,C0-M10,0.03762,9.033,240.09,7.454,6.82,1.838,-0.004,-0.033,0.025,0.535,0.103,0.967,4.821,4.567,5.075,0.00223,
R4_S8_A0.6,logn30,safe,40,C1-M10,0.03764,9.037,240.09,7.546,6.28,1.835,,,,0.539,0.106,0.972,4.825,4.574,5.076,0.00224,
R4_S8_A0.6,logn30,safe,40,C0-M12.5,0.03299,7.921,240.09,5.119,11.8,2.132,-0.066,-0.109,-0.023,-0.577,-0.954,-0.2,3.709,3.454,3.964,-0.0024,
R4_S8_A0.6,logn30,safe,40,C1-M12.5,0.03327,7.987,240.09,5.366,10.14,2.123,,,,-0.511,-0.888,-0.134,3.775,3.519,4.031,-0.00213,
R4_S8_A0.6,logn30,safe,40,C0-M15,0.03141,7.541,240.09,2.682,19.99,2.461,-0.256,-0.344,-0.168,-0.957,-1.234,-0.68,3.329,3.021,3.637,-0.00399,
R4_S8_A0.6,logn30,safe,40,C1-M15,0.03248,7.797,240.09,3.33,15.15,2.429,,,,-0.701,-0.962,-0.44,3.585,3.267,3.903,-0.00292,
R4_S8_A0.6,logn30,safe,40,C0-M17.5,0.03199,7.681,240.09,1.769,24.39,2.592,-0.34,-0.446,-0.234,-0.817,-1.036,-0.598,3.469,3.132,3.806,-0.0034,
R4_S8_A0.6,logn30,safe,40,C1-M17.5,0.03341,8.021,240.09,2.711,17.43,2.542,,,,-0.477,-0.694,-0.26,3.809,3.454,4.164,-0.00199,
R4_S8_A0.6,logn30,safe,40,C0-M20,0.03307,7.94,240.09,0.887,29.54,2.724,-0.38,-0.509,-0.251,-0.558,-0.722,-0.394,3.728,3.344,4.112,-0.00232,
R4_S8_A0.6,logn30,safe,40,C1-M20,0.03465,8.32,240.09,2.231,18.59,2.634,,,,-0.178,-0.347,-0.009,4.108,3.7,4.516,-0.00074,
R4_S8_A0.6,logn30,safe,40,C0-M30,0.03522,8.456,240.09,0.057,35.7,2.848,-0.123,-0.264,0.018,-0.042,-0.077,-0.007,4.244,3.773,4.715,-0.00017,
R4_S8_A0.6,logn30,safe,40,C1-M30,0.03573,8.579,240.09,1.981,19.75,2.685,,,,0.081,-0.059,0.221,4.367,3.91,4.824,0.00034,
R4_S8_A0.6,logn30cv15,lean,36,H,0.08986,21.574,240.09,0.0,101.09,2.578,,,,0.0,0.0,0.0,1.504,1.299,1.709,0.0,0.0
