service_time,threshold,patience,windows,delta_star,scaled_delta,beta_star,alpha_star,alpha_star_sqrt_c,k1
32.0,5.0,120.0,5000,37.13439,5.80225,0.52516,0.0014685,0.10384,0.27171
32.0,5.0,120.0,10000,38.94312,6.08486,0.38943,0.0013513,0.13513,0.27171
32.0,15.0,30.0,10,9.85609,4.62004,3.11677,0.0,0.0,0.40538
32.0,15.0,30.0,20,4.98348,2.33601,1.11434,0.0156445,0.06996,0.40538
32.0,15.0,30.0,50,6.0956,2.85731,0.86205,0.015928,0.11263,0.40538
32.0,15.0,30.0,100,6.83965,3.20609,0.68397,0.0153525,0.15353,0.40538
32.0,15.0,30.0,200,7.57753,3.55197,0.53581,0.0137372,0.19427,0.40538
32.0,15.0,30.0,500,8.55307,4.00925,0.3825,0.0108976,0.24368,0.40538
32.0,15.0,30.0,1000,9.29171,4.35549,0.29383,0.0087279,0.276,0.40538
32.0,15.0,30.0,2000,10.03087,4.70197,0.2243,0.0067848,0.30343,0.40538
32.0,15.0,30.0,5000,11.00848,5.16023,0.15568,0.0047005,0.33238,0.40538
32.0,15.0,30.0,10000,11.7482,5.50697,0.11748,0.0034934,0.34934,0.40538
32.0,15.0,120.0,10,,,,,,0.27171
32.0,15.0,120.0,20,5.97938,2.80284,1.33703,0.0057415,0.02568,0.27171
32.0,15.0,120.0,50,7.6059,3.56526,1.07564,0.0052056,0.03681,0.27171
32.0,15.0,120.0,100,8.43112,3.95209,0.84311,0.0055532,0.05553,0.27171
32.0,15.0,120.0,200,9.03985,4.23743,0.63921,0.0058891,0.08328,0.27171
32.0,15.0,120.0,500,9.82774,4.60675,0.43951,0.0055202,0.12343,0.27171
32.0,15.0,120.0,1000,10.46177,4.90396,0.33083,0.0047895,0.15146,0.27171
32.0,15.0,120.0,2000,11.12175,5.21332,0.24869,0.0039363,0.17603,0.27171
32.0,15.0,120.0,5000,12.0237,5.63611,0.17004,0.0028657,0.20263,0.27171
32.0,15.0,120.0,10000,12.72239,5.96362,0.12722,0.0021847,0.21847,0.27171
32.0,30.0,30.0,10,2.13849,2.00483,0.67625,0.0510407,0.1614,0.40538
32.0,30.0,30.0,20,2.53469,2.37627,0.56677,0.0424937,0.19004,0.40538
