plan_name,plan,window_hours,timing,R,L,h,h_low,h_high,dh,dh_low,dh_high,sim_R,n_roots,significant_rises
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,opening,0.0,28.672,28.672,27.52,29.825,nan,nan,nan,,0,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,opening,12.0,36.735,24.735,23.431,26.039,-3.9375,-4.5055,-3.3695,,0,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,opening,24.0,47.08,23.08,21.728,24.432,-1.655,-2.4512,-0.8588,,0,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,opening,48.0,68.957,20.957,19.442,22.473,-2.1225,-3.0944,-1.1506,,0,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,opening,84.0,103.297,19.297,17.681,20.914,-1.66,-2.6981,-0.6219,,0,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,opening,120.0,138.695,18.695,16.902,20.488,-0.6025,-1.5962,0.3912,,0,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,opening,180.0,197.075,17.075,15.013,19.137,-1.62,-2.8841,-0.3559,,0,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,opening,240.0,257.195,17.195,15.095,19.295,0.12,-1.0173,1.2573,,0,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,opening,360.0,376.342,16.342,14.018,18.667,-0.8525,-2.3886,0.6836,,0,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,opening,480.0,494.832,14.832,12.222,17.443,-1.51,-3.0401,0.0201,,0,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,opening,720.0,732.905,12.905,10.012,15.798,-1.9275,-3.7979,-0.0571,,0,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,profile,0.0,37.737,37.737,36.408,39.067,nan,nan,nan,643.951,1,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,profile,12.0,45.56,33.56,32.11,35.01,-4.1775,-4.6863,-3.6687,643.951,1,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,profile,24.0,53.84,29.84,28.236,31.444,-3.72,-4.2868,-3.1532,643.951,1,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,profile,48.0,71.595,23.595,21.795,25.395,-6.245,-7.0781,-5.4119,643.951,1,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,profile,84.0,101.56,17.56,15.527,19.593,-6.035,-7.077,-4.993,643.951,1,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,profile,120.0,133.375,13.375,11.195,15.555,-4.185,-5.2451,-3.1249,643.951,1,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,profile,180.0,190.148,10.148,7.805,12.49,-3.2275,-4.5105,-1.9445,643.951,1,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,profile,240.0,247.85,7.85,5.381,10.319,-2.2975,-3.5735,-1.0215,643.951,1,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,profile,360.0,364.31,4.31,1.606,7.014,-3.54,-5.3336,-1.7464,643.951,1,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,profile,480.0,482.49,2.49,-0.317,5.297,-1.82,-3.6643,0.0243,643.951,1,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,profile,720.0,718.845,-1.155,-4.589,2.279,-3.645,-6.0907,-1.1993,643.951,1,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,opening,0.0,37.737,37.737,36.408,39.067,nan,nan,nan,,0,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,opening,12.0,47.513,35.513,34.091,36.934,-2.225,-2.7897,-1.6603,,0,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,opening,24.0,58.3,34.3,32.811,35.789,-1.2125,-2.0569,-0.3681,,0,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,opening,48.0,81.002,33.002,31.43,34.575,-1.2975,-2.3433,-0.2517,,0,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,opening,84.0,115.865,31.865,30.171,33.559,-1.1375,-2.2666,-0.0084,,0,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,opening,120.0,151.67,31.67,29.844,33.496,-0.195,-1.2277,0.8377,,0,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,opening,180.0,210.22,30.22,28.128,32.312,-1.45,-2.7809,-0.1191,,0,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,opening,240.0,270.425,30.425,28.281,32.569,0.205,-0.9481,1.3581,,0,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,opening,360.0,390.058,30.058,27.72,32.395,-0.3675,-1.9725,1.2375,,0,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,opening,480.0,508.71,28.71,26.055,31.365,-1.3475,-2.9092,0.2142,,0,0
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,opening,720.0,746.872,26.872,23.93,29.815,-1.8375,-3.7372,0.0622,,0,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,profile,0.0,36.352,36.352,35.043,37.662,nan,nan,nan,415.397,1,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,profile,12.0,43.917,31.917,30.477,33.358,-4.435,-4.9513,-3.9187,415.397,1,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,profile,24.0,51.958,27.958,26.381,29.534,-3.96,-4.5182,-3.4018,415.397,1,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,profile,48.0,69.108,21.108,19.351,22.864,-6.85,-7.6674,-6.0326,415.397,1,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,profile,84.0,98.597,14.597,12.589,16.606,-6.51,-7.5278,-5.4922,415.397,1,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,profile,120.0,129.977,9.977,7.836,12.119,-4.62,-5.6797,-3.5603,415.397,1,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,profile,180.0,186.593,6.593,4.231,8.954,-3.385,-4.6965,-2.0735,415.397,1,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,profile,240.0,244.023,4.023,1.547,6.498,-2.57,-3.8565,-1.2835,415.397,1,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,profile,360.0,360.887,0.887,-1.81,3.585,-3.135,-4.9144,-1.3556,415.397,1,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,profile,480.0,478.965,-1.035,-3.833,1.763,-1.9225,-3.7366,-0.1084,415.397,1,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,profile,720.0,714.967,-5.033,-8.464,-1.601,-3.9975,-6.3898,-1.6052,415.397,1,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,opening,0.0,36.352,36.352,35.043,37.662,nan,nan,nan,,0,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,opening,12.0,45.898,33.898,32.513,35.282,-2.455,-3.0015,-1.9085,,0,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,opening,24.0,56.765,32.765,31.314,34.216,-1.1325,-1.9711,-0.2939,,0,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,opening,48.0,79.297,31.297,29.75,32.845,-1.4675,-2.4987,-0.4363,,0,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,opening,84.0,113.895,29.895,28.246,31.544,-1.4025,-2.5239,-0.2811,,0,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,opening,120.0,149.74,29.74,27.933,31.547,-0.155,-1.1896,0.8796,,0,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,opening,180.0,207.98,27.98,25.925,30.035,-1.76,-3.0733,-0.4467,,0,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,opening,240.0,267.978,27.978,25.847,30.108,-0.0025,-1.1518,1.1468,,0,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,opening,360.0,387.423,27.423,25.102,29.743,-0.555,-2.1215,1.0115,,0,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,opening,480.0,505.882,25.882,23.235,28.53,-1.54,-3.0652,-0.0148,,0,0
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,opening,720.0,743.832,23.832,20.91,26.755,-2.05,-3.9355,-0.1645,,0,0
