c,S,patience,display,min_step,monotone,dominated_by,max_excess_over_dominating,ordered
8,8.0,logn30,O*3,-1.4659384817150567e-12,True,H|O*1.5|O*2,1.5547563236850692e-12,True
8,8.0,logn30,O-M5,-4.1944225870338414e-13,True,H|O-M10|O-M15|O-M30,1.1857181902996672e-13,True
8,8.0,logn30,O-M10,-2.3736568266485847e-13,True,H|O-M15|O-M30,1.729727472365994e-13,True
8,8.0,logn30,O-M15,-1.3700152123874432e-13,True,H|O-M30,7.096545573404001e-13,True
8,8.0,logn30,O-M30,-1.311395436687235e-12,True,H,1.6613377340490842e-12,True
8,8.0,logn30cv15,H,-1.814992600657206e-12,True,,0.0,True
8,8.0,logn30cv15,O*1.5,-2.8821389719269064e-13,True,H,9.914291609902648e-13,True
8,8.0,logn30cv15,O*2,-2.609024107869118e-13,True,H|O*1.5,2.1338486533295509e-13,True
8,8.0,logn30cv15,O*3,-5.617728504603292e-14,True,H|O*1.5|O*2,-1.199040866595169e-14,True
8,8.0,logn30cv15,O-M5,-1.2989609388114332e-13,True,H|O-M10|O-M15|O-M30,1.3011813848606835e-13,True
8,8.0,logn30cv15,O-M10,-8.033573806187633e-13,True,H|O-M15|O-M30,2.688960165642129e-13,True
8,8.0,logn30cv15,O-M15,-1.2789769243681803e-13,True,H|O-M30,1.4788170688007085e-13,True
8,8.0,logn30cv15,O-M30,-5.637712519046545e-13,True,H,2.255973186038318e-13,True
8,16.0,exp30,H,-1.0902390101819037e-12,True,,0.0,True
8,16.0,exp30,O*1.5,-5.633271626948044e-13,True,H,-2.020605904817785e-14,True
8,16.0,exp30,O*2,-2.937650123158164e-13,True,H|O*1.5,2.802202914153895e-13,True
8,16.0,exp30,O*3,-2.615685446016869e-13,True,H|O*1.5|O*2,1.170175067954915e-13,True
8,16.0,exp30,O-M5,2.398081733190338e-14,True,H|O-M10|O-M15|O-M30,-5.45785638905727e-13,True
8,16.0,exp30,O-M10,-1.1324274851176597e-14,True,H|O-M15|O-M30,1.5654144647214707e-13,True
8,16.0,exp30,O-M15,-2.844391389089651e-13,True,H|O-M30,1.9895196601282805e-13,True
8,16.0,exp30,O-M30,-4.971578704271451e-13,True,H,5.440092820663267e-13,True
8,16.0,logn30,H,-4.1100456371623295e-13,True,,0.0,True
8,16.0,logn30,O*1.5,-1.467714838554457e-13,True,H,6.217248937900877e-14,True
8,16.0,logn30,O*2,7.771561172376096e-15,True,H|O*1.5,3.6615155352137663e-13,True
8,16.0,logn30,O*3,6.616929226765933e-14,True,H|O*1.5|O*2,8.482103908136196e-14,True
8,16.0,logn30,O-M5,-2.3425705819590803e-13,True,H|O-M10|O-M15|O-M30,2.1405099914773018e-13,True
8,16.0,logn30,O-M10,-1.8851586958135158e-13,True,H|O-M15|O-M30,1.949551631241775e-13,True
8,16.0,logn30,O-M15,-4.9649173661237e-13,True,H|O-M30,8.453238109495942e-13,True
8,16.0,logn30,O-M30,-6.614708780716683e-13,True,H,4.0456527017340704e-13,True
8,16.0,logn30cv15,H,-2.680078381445128e-13,True,,0.0,True
8,16.0,logn30cv15,O*1.5,-3.7969627442180354e-13,True,H,2.573496971081113e-13,True
8,16.0,logn30cv15,O*2,-1.5232259897857148e-13,True,H|O*1.5,5.617728504603292e-14,True
8,16.0,logn30cv15,O*3,-1.3278267374516872e-13,True,H|O*1.5|O*2,2.702282841937631e-13,True
8,16.0,logn30cv15,O-M5,-3.0819791163594346e-13,True,H|O-M10|O-M15|O-M30,-2.0827783941967937e-13,True
8,16.0,logn30cv15,O-M10,-1.3145040611561853e-13,True,H|O-M15|O-M30,1.6342482922482304e-13,True
8,16.0,logn30cv15,O-M15,-2.453592884421596e-13,True,H|O-M30,2.7333690866271354e-13,True
8,16.0,logn30cv15,O-M30,-4.594102875898898e-13,True,H,2.4513724383723456e-13,True
16,8.0,exp30,H,-1.517674874662589e-12,True,,0.0,True
16,8.0,exp30,O*1.5,-1.383337888682945e-13,True,H,4.1255887595070817e-13,True
16,8.0,exp30,O*2,-7.900347043232614e-13,True,H|O*1.5,4.805045250577678e-13,True
16,8.0,exp30,O*3,-1.9539925233402755e-14,True,H|O*1.5|O*2,3.5837999234900053e-13,True
16,8.0,exp30,O-M5,-1.9340085088970227e-13,True,H|O-M10|O-M15|O-M30,1.2523315717771766e-13,True
16,8.0,exp30,O-M10,-2.3225865675158275e-13,True,H|O-M15|O-M30,3.510525203864745e-13,True
16,8.0,exp30,O-M15,-6.432632204678157e-13,True,H|O-M30,6.006306563222097e-13,True
16,8.0,exp30,O-M30,-4.374278717023117e-13,True,H,7.838174553853605e-13,True
16,8.0,logn30,H,-1.7137402608113916e-12,True,,0.0,True
16,8.0,logn30,O*1.5,-1.9269030815394217e-12,True,H,1.021405182655144e-12,True
