office,patience,plan_type,regime,false_balks_per_day,ontime_false_balks_per_day,ontime_share
R16_S16_A0.6,exp30,safe,C1-M15,11.724,11.033,0.9411
R16_S16_A0.6,exp30,safe,C0-M17.5,1.466,1.125,0.7671
R16_S16_A0.6,exp30,safe,C1-M17.5,9.733,9.39,0.9647
R16_S16_A0.6,exp30,safe,C0-M20,0.582,0.432,0.7438
R16_S16_A0.6,exp30,safe,C1-M20,9.026,8.868,0.9825
R16_S16_A0.6,exp30,safe,C0-M30,0.008,0.007,0.875
R16_S16_A0.6,exp30,safe,C1-M30,8.614,8.582,0.9963
R16_S16_A0.6,logn30,lean,O*1.5,18.823,8.87,0.4712
R16_S16_A0.6,logn30,lean,O*2,39.409,22.487,0.5706
R16_S16_A0.6,logn30,lean,O*3,75.47,52.651,0.6976
R16_S16_A0.6,logn30,lean,O-M5,133.276,108.308,0.8127
R16_S16_A0.6,logn30,lean,O-M10,63.584,38.616,0.6073
R16_S16_A0.6,logn30,lean,O-M12.5,41.154,16.186,0.3933
R16_S16_A0.6,logn30,lean,O-M15,24.968,0.0,0.0
R16_S16_A0.6,logn30,lean,O-M17.5,13.99,0.0,0.0
R16_S16_A0.6,logn30,lean,O-M20,7.161,0.0,0.0
R16_S16_A0.6,logn30,lean,O-M30,0.162,0.0,0.0
R16_S16_A0.6,logn30,lean,C,4.837,2.861,0.5915
R16_S16_A0.6,logn30,lean,C0-M5,141.756,116.822,0.8241
R16_S16_A0.6,logn30,lean,C1-M5,141.757,116.823,0.8241
R16_S16_A0.6,logn30,lean,C0-M10,67.877,44.281,0.6524
R16_S16_A0.6,logn30,lean,C1-M10,68.002,44.405,0.653
R16_S16_A0.6,logn30,lean,C0-M12.5,44.51,23.643,0.5312
R16_S16_A0.6,logn30,lean,C1-M12.5,44.958,24.091,0.5359
R16_S16_A0.6,logn30,lean,C0-M15,27.44,11.093,0.4043
R16_S16_A0.6,logn30,lean,C1-M15,28.393,12.046,0.4243
R16_S16_A0.6,logn30,lean,C0-M17.5,18.03,5.659,0.3138
R16_S16_A0.6,logn30,lean,C1-M17.5,19.56,7.161,0.3661
R16_S16_A0.6,logn30,lean,C0-M20,10.46,2.239,0.214
R16_S16_A0.6,logn30,lean,C1-M20,12.797,4.359,0.3406
R16_S16_A0.6,logn30,lean,C0-M30,1.079,0.073,0.0681
R16_S16_A0.6,logn30,lean,C1-M30,5.37,2.889,0.5378
R16_S16_A0.6,logn30,safe,O*1.5,14.47,8.809,0.6088
R16_S16_A0.6,logn30,safe,O*2,32.823,22.869,0.6968
R16_S16_A0.6,logn30,safe,O*3,68.416,54.599,0.798
R16_S16_A0.6,logn30,safe,O-M5,130.034,114.745,0.8824
