office,alpha,patience,history,period,hours_run,new_hours,new_plan,failures_per_day,fitted_family,fitted_mean,fitted_cv
R32,0.1,exp30,2,5,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",76.3,exp,29.9,1.0
R32,0.1,exp30,2,6,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",73.37,exp,30.0,1.0
R32,0.1,exp30,2,7,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",82.8,exp,30.0,1.0
R32,0.1,exp30,2,8,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",82.03,exp,30.1,1.0
R32,0.1,exp30,3,1,277,237,"[26, 44, 31, 19, 17, 29, 41, 30]",17.63,exp,30.2,1.0
R32,0.1,exp30,3,2,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",82.3,exp,30.1,1.0
R32,0.1,exp30,3,3,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",84.2,exp,30.0,1.0
R32,0.1,exp30,3,4,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",80.67,exp,29.5,1.0
R32,0.1,exp30,3,5,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",85.17,exp,29.7,1.0
R32,0.1,exp30,3,6,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",63.23,exp,29.9,1.0
R32,0.1,exp30,3,7,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",71.87,exp,29.8,1.0
R32,0.1,exp30,3,8,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",79.47,exp,29.8,1.0
R32,0.1,exp30,4,1,277,238,"[26, 44, 31, 19, 17, 30, 41, 30]",20.6,lognormal,448.4,10.314
R32,0.1,exp30,4,2,238,237,"[26, 44, 31, 19, 17, 29, 41, 30]",73.7,exp,29.7,1.0
R32,0.1,exp30,4,3,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",74.5,exp,29.8,1.0
R32,0.1,exp30,4,4,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",78.4,exp,29.6,1.0
R32,0.1,exp30,4,5,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",85.97,exp,29.7,1.0
R32,0.1,exp30,4,6,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",82.07,exp,29.9,1.0
R32,0.1,exp30,4,7,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",68.7,exp,29.9,1.0
R32,0.1,exp30,4,8,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",74.13,exp,30.0,1.0
R32,0.1,exp30,5,1,277,237,"[26, 44, 31, 19, 17, 29, 41, 30]",18.83,exp,29.4,1.0
R32,0.1,exp30,5,2,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",82.2,exp,29.6,1.0
R32,0.1,exp30,5,3,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",78.87,exp,29.9,1.0
R32,0.1,exp30,5,4,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",78.5,exp,30.0,1.0
R32,0.1,exp30,5,5,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",69.93,exp,30.1,1.0
R32,0.1,exp30,5,6,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",70.9,exp,30.4,1.0
R32,0.1,exp30,5,7,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",74.0,exp,30.3,1.0
R32,0.1,exp30,5,8,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",76.03,exp,30.3,1.0
R32,0.1,exp30,6,1,277,238,"[26, 44, 31, 19, 17, 30, 41, 30]",21.27,lognormal,362.7,8.425
R32,0.1,exp30,6,2,238,237,"[26, 44, 31, 19, 17, 29, 41, 30]",78.03,exp,30.7,1.0
R32,0.1,exp30,6,3,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",76.0,exp,30.7,1.0
R32,0.1,exp30,6,4,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",77.63,exp,30.4,1.0
R32,0.1,exp30,6,5,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",79.23,exp,30.3,1.0
R32,0.1,exp30,6,6,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",85.43,exp,30.3,1.0
R32,0.1,exp30,6,7,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",80.43,exp,30.4,1.0
R32,0.1,exp30,6,8,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",74.8,exp,30.5,1.0
R32,0.1,exp30,7,1,277,237,"[26, 44, 31, 19, 17, 29, 41, 30]",24.3,exp,27.8,1.0
R32,0.1,exp30,7,2,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",83.9,exp,29.3,1.0
R32,0.1,exp30,7,3,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",79.2,exp,29.6,1.0
R32,0.1,exp30,7,4,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",80.33,exp,29.6,1.0
R32,0.1,exp30,7,5,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",75.2,exp,29.9,1.0
R32,0.1,exp30,7,6,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",77.1,exp,30.2,1.0
R32,0.1,exp30,7,7,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",83.1,exp,30.0,1.0
R32,0.1,exp30,7,8,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",78.3,exp,30.0,1.0
R32,0.1,exp30,8,1,277,237,"[26, 44, 31, 19, 17, 29, 41, 30]",18.57,exp,31.1,1.0
R32,0.1,exp30,8,2,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",68.9,exp,30.2,1.0
R32,0.1,exp30,8,3,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",78.8,exp,29.9,1.0
R32,0.1,exp30,8,4,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",82.63,exp,29.7,1.0
R32,0.1,exp30,8,5,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",79.43,exp,30.1,1.0
R32,0.1,exp30,8,6,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",76.4,exp,30.0,1.0
R32,0.1,exp30,8,7,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",78.2,exp,30.1,1.0
R32,0.1,exp30,8,8,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",79.6,exp,30.2,1.0
R32,0.1,exp30,9,1,277,237,"[26, 44, 31, 19, 17, 29, 41, 30]",18.37,exp,30.3,1.0
R32,0.1,exp30,9,2,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",76.03,exp,29.8,1.0
R32,0.1,exp30,9,3,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",80.7,exp,30.1,1.0
R32,0.1,exp30,9,4,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",85.43,exp,30.3,1.0
R32,0.1,exp30,9,5,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",71.97,exp,30.3,1.0
R32,0.1,exp30,9,6,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",82.23,exp,30.3,1.0
R32,0.1,exp30,9,7,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",71.4,exp,30.2,1.0
R32,0.1,exp30,9,8,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",74.4,exp,30.1,1.0
R32,0.1,logn30,0,1,277,255,"[28, 47, 34, 20, 18, 32, 44, 32]",2.03,lognormal,31.0,0.485
R32,0.1,logn30,0,2,255,252,"[27, 47, 33, 20, 18, 32, 43, 32]",39.1,lognormal,29.0,0.472
R32,0.1,logn30,0,3,252,251,"[27, 47, 33, 20, 18, 31, 43, 32]",44.1,lognormal,29.2,0.484
R32,0.1,logn30,0,4,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",56.37,lognormal,29.4,0.489
R32,0.1,logn30,0,5,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",43.2,lognormal,28.8,0.48
R32,0.1,logn30,0,6,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",44.0,lognormal,28.8,0.478
R32,0.1,logn30,0,7,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",40.97,lognormal,28.9,0.478
R32,0.1,logn30,0,8,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",28.53,lognormal,29.1,0.482
R32,0.1,logn30,1,1,277,253,"[27, 47, 33, 20, 18, 32, 44, 32]",4.93,lognormal,37.3,0.633
R32,0.1,logn30,1,2,253,251,"[27, 47, 33, 20, 18, 31, 43, 32]",43.57,lognormal,30.2,0.506
R32,0.1,logn30,1,3,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",50.37,lognormal,30.7,0.517
R32,0.1,logn30,1,4,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",49.73,lognormal,29.9,0.499
R32,0.1,logn30,1,5,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",47.67,lognormal,29.5,0.494
R32,0.1,logn30,1,6,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",48.8,lognormal,29.6,0.496
R32,0.1,logn30,1,7,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",64.57,lognormal,29.9,0.503
R32,0.1,logn30,1,8,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",40.9,lognormal,30.0,0.503
R32,0.1,logn30,2,1,277,254,"[27, 47, 34, 20, 18, 32, 44, 32]",2.83,lognormal,29.7,0.465
R32,0.1,logn30,2,2,254,253,"[27, 47, 33, 20, 18, 32, 44, 32]",19.93,lognormal,28.8,0.467
R32,0.1,logn30,2,3,253,252,"[27, 47, 33, 20, 18, 32, 43, 32]",27.8,lognormal,29.1,0.477
R32,0.1,logn30,2,4,252,251,"[27, 47, 33, 20, 18, 31, 43, 32]",37.23,lognormal,29.3,0.482
R32,0.1,logn30,2,5,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",44.63,lognormal,29.1,0.479
R32,0.1,logn30,2,6,251,251,"[27, 47, 33, 20, 18, 31, 43, 32]",34.87,lognormal,28.8,0.476
