c,rho_fresh,S,patience,r,n_roots,total_rate_per_hour
4,0.5,16.0,10.0,0.5,1,7.6933
4,0.5,16.0,10.0,0.9,1,7.8793
4,0.5,16.0,10.0,1.0,1,7.9316
4,0.5,16.0,30.0,0.5,1,7.6039
4,0.5,16.0,30.0,0.9,1,7.6963
4,0.5,16.0,30.0,1.0,1,7.7209
4,0.5,16.0,120.0,0.5,1,7.5362
4,0.5,16.0,120.0,0.9,1,7.5664
4,0.5,16.0,120.0,1.0,1,7.5741
4,0.8,4.0,10.0,0.5,1,50.4848
4,0.8,4.0,10.0,0.9,1,53.527
4,0.8,4.0,10.0,1.0,1,54.5852
4,0.8,4.0,30.0,0.5,1,49.31
4,0.8,4.0,30.0,0.9,1,50.667
4,0.8,4.0,30.0,1.0,1,51.0723
4,0.8,4.0,120.0,0.5,1,48.4691
4,0.8,4.0,120.0,0.9,1,48.8877
4,0.8,4.0,120.0,1.0,1,48.9998
4,0.8,16.0,10.0,0.5,1,13.114
4,0.8,16.0,10.0,0.9,1,14.8461
4,0.8,16.0,10.0,1.0,1,15.6376
4,0.8,16.0,30.0,0.5,1,12.7156
4,0.8,16.0,30.0,0.9,1,13.6351
4,0.8,16.0,30.0,1.0,1,13.9715
4,0.8,16.0,120.0,0.5,1,12.3275
4,0.8,16.0,120.0,0.9,1,12.6667
4,0.8,16.0,120.0,1.0,1,12.7681
4,0.95,4.0,10.0,0.5,1,62.1632
4,0.95,4.0,10.0,0.9,1,71.8135
4,0.95,4.0,10.0,1.0,1,78.4815
4,0.95,4.0,30.0,0.5,1,60.2355
4,0.95,4.0,30.0,0.9,1,65.306
4,0.95,4.0,30.0,1.0,1,67.8898
4,0.95,4.0,120.0,0.5,1,58.5565
4,0.95,4.0,120.0,0.9,1,60.5201
4,0.95,4.0,120.0,1.0,1,61.2578
4,0.95,16.0,10.0,0.5,1,16.2681
4,0.95,16.0,10.0,0.9,1,20.9687
4,0.95,16.0,10.0,1.0,1,26.0876
4,0.95,16.0,30.0,0.5,1,15.6852
4,0.95,16.0,30.0,0.9,1,18.4948
4,0.95,16.0,30.0,1.0,1,20.6146
4,0.95,16.0,120.0,0.5,1,15.0589
4,0.95,16.0,120.0,0.9,1,16.3265
4,0.95,16.0,120.0,1.0,1,16.9724
4,1.0,4.0,10.0,0.5,1,66.4282
4,1.0,4.0,10.0,0.9,1,81.6443
4,1.0,4.0,10.0,1.0,121,340.9049
4,1.0,4.0,30.0,0.5,1,64.3205
4,1.0,4.0,30.0,0.9,1,73.6382
4,1.0,4.0,30.0,1.0,114,187.631
4,1.0,4.0,120.0,0.5,1,62.4303
4,1.0,4.0,120.0,0.9,1,67.2735
4,1.0,4.0,120.0,1.0,125,114.3608
4,1.0,16.0,10.0,0.5,1,17.3942
4,1.0,16.0,10.0,0.9,1,23.9842
4,1.0,16.0,10.0,1.0,65,219.2851
4,1.0,16.0,30.0,0.5,1,16.7637
4,1.0,16.0,30.0,0.9,1,21.0604
4,1.0,16.0,30.0,1.0,105,101.6734
4,1.0,16.0,120.0,0.5,1,16.0801
4,1.0,16.0,120.0,0.9,1,18.4096
4,1.0,16.0,120.0,1.0,120,46.9077
4,1.1,4.0,10.0,0.5,1,75.6331
4,1.1,4.0,10.0,0.9,1,120.7585
4,1.1,4.0,10.0,1.0,0,
4,1.1,4.0,30.0,0.5,1,73.5362
4,1.1,4.0,30.0,0.9,1,120.001
4,1.1,4.0,30.0,1.0,0,
4,1.1,4.0,120.0,0.5,1,72.1692
4,1.1,4.0,120.0,0.9,1,120.0
4,1.1,4.0,120.0,1.0,0,
4,1.1,16.0,10.0,0.5,1,19.7573
4,1.1,16.0,10.0,0.9,1,32.7051
4,1.1,16.0,10.0,1.0,0,
4,1.1,16.0,30.0,0.5,1,19.0735
4,1.1,16.0,30.0,0.9,1,30.4421
4,1.1,16.0,30.0,1.0,0,
4,1.1,16.0,120.0,0.5,1,18.384
4,1.1,16.0,120.0,0.9,1,30.0003
4,1.1,16.0,120.0,1.0,0,
4,1.5,4.0,10.0,0.5,1,120.09
4,1.5,4.0,10.0,0.9,1,360.0
4,1.5,4.0,10.0,1.0,0,
4,1.5,4.0,30.0,0.5,1,120.0001
4,1.5,4.0,30.0,0.9,1,360.0
4,1.5,4.0,30.0,1.0,0,
4,1.5,4.0,120.0,0.5,1,120.0
4,1.5,4.0,120.0,0.9,1,360.0
4,1.5,4.0,120.0,1.0,0,
4,1.5,16.0,10.0,0.5,1,30.4135
4,1.5,16.0,10.0,0.9,1,90.0006
4,1.5,16.0,10.0,1.0,0,
4,1.5,16.0,30.0,0.5,1,30.0553
4,1.5,16.0,30.0,0.9,1,90.0
4,1.5,16.0,30.0,1.0,0,
4,1.5,16.0,120.0,0.5,1,30.0
4,1.5,16.0,120.0,0.9,1,90.0
